	February 17, 2003, 10:00 pm	127.0.0.1	3	100
Andy	February 17, 2003, 10:22 pm	127.0.0.1	0	0
Andy	February 17, 2003, 10:23 pm	127.0.0.1	2	66.666666666667
	February 17, 2003, 10:54 pm	127.0.0.1	2	66.666666666667
nobody	February 23, 2003, 10:54 pm	127.0.0.1	2	66.666666666667
Sir Bedevere	March 7, 2003, 2:38 pm	127.0.0.1	1	33.333333333333
Sir Bedevere	March 7, 2003, 2:38 pm	127.0.0.1	2	66.666666666667
asdf	March 21, 2008, 11:16 am	127.0.0.1	2	66.666666666667
asdf	March 21, 2008, 11:18 am	127.0.0.1	0	0
asdf	March 21, 2008, 11:20 am	127.0.0.1	0	0
asdf	March 21, 2008, 11:20 am	127.0.0.1	0	0
asdf	2008-03-21T11:24:27-04:00	127.0.0.1	2	66.666666666667
asdf		127.0.0.1	2	66.666666666667
asdf		127.0.0.1	2	66.666666666667
asdf	America/New_York	127.0.0.1	2	66.666666666667
asdf		127.0.0.1	2	66.666666666667
asdf	March 21, 2008, 11:30 am	127.0.0.1	2	66.666666666667
asdf	March 21, 2008, 11:33 am	127.0.0.1	2	66.666666666667
asdf	March 21, 2008, 11:35 am	127.0.0.1	2	66.666666666667
asdf	March 21, 2008, 11:35 am	127.0.0.1	2	66.666666666667
asdf	March 21, 2008, 11:36 am	127.0.0.1	2	66.666666666667
asdf	March 21, 2008, 11:36 am	127.0.0.1	2	66.666666666667
Andy	March 21, 2008, 11:37 am	127.0.0.1	3	100
Roger the Shrubber	March 21, 2008, 11:37 am	127.0.0.1	1	33.333333333333
testing	July 5, 2008, 3:55 pm	127.0.0.1	3	100
	July 5, 2008, 3:58 pm	127.0.0.1	0	0
Testing	July 5, 2008, 7:30 pm	127.0.0.1	2	66.666666666667
